fingerprint,count,frequency
00111000,508,0.085177733065057
00111001,461,0.0772971160295104
00110000,443,0.07427900737759893
00111101,413,0.06924882629107981
00110001,405,0.06790744466800805
00111100,383,0.06421864520456069
00111010,381,0.06388329979879276
00110101,372,0.06237424547283702
00110100,351,0.05885311871227364
00111011,350,0.05868544600938967
00111111,326,0.05466130114017438
00111110,326,0.05466130114017438
00110011,325,0.05449362843729041
00110010,306,0.05130784708249497
00110111,295,0.049463447350771295
00110110,280,0.046948356807511735
00100011,4,0.0006706908115358819
00100110,4,0.0006706908115358819
01111000,3,0.0005030181086519115
00101010,3,0.0005030181086519115
00101011,2,0.00033534540576794097
00100111,2,0.00033534540576794097
00100010,2,0.00033534540576794097
00101100,2,0.00033534540576794097
01111101,2,0.00033534540576794097
00101110,2,0.00033534540576794097
00101000,2,0.00033534540576794097
00101001,1,0.00016767270288397049
00100001,1,0.00016767270288397049
01111001,1,0.00016767270288397049
00100100,1,0.00016767270288397049
01110001,1,0.00016767270288397049
10110000,1,0.00016767270288397049
10111101,1,0.00016767270288397049
01110011,1,0.00016767270288397049
00101111,1,0.00016767270288397049
01110000,1,0.00016767270288397049
10110100,1,0.00016767270288397049
